Wall time,Step,Value
1652271910.312202,851556,-1.0
1652271991.2106943,854052,-1.0
1652272043.7135773,855598,-1.0
1652272142.8742807,858306,-1.0
1652272213.0714753,860068,-1.0
1652272309.5551906,862726,-1.0
1652272518.1940289,868878,-1.0
1652272556.8555448,870071,-1.0
1652272631.6773047,871954,-1.0
1652272663.9564562,872862,-1.0
1652272668.622716,873021,-1.0
1652272744.262117,874988,-1.0
1652272836.1232188,877302,-1.0
1652272906.6188872,879037,-1.0
1652273073.6572726,883049,-1.0
1652273091.5649364,883431,-1.0
1652273117.7176712,884118,-1.0
1652273142.6544287,884711,-1.0
1652273149.7256858,884889,-1.0
1652273192.5310562,885842,-1.0
1652273280.139739,887907,-1.0
1652273358.3304904,889921,-1.0
1652273652.7371912,897364,-1.0
1652273841.5627527,902217,-1.0
1652273899.269692,903753,-1.0
1652273949.983979,905014,-1.0
1652274017.5545056,906779,-1.0
1652274049.7220876,907573,-1.0
1652274132.9501073,909668,-1.0
1652274163.5131762,910416,-1.0
1652274201.4106824,911356,-1.0
1652274282.8875678,913448,-1.0
1652274319.2695181,914466,-1.0
1652274328.2610202,914729,-1.0
1652274382.0451944,916055,-1.0
1652274412.3776042,916897,-1.0
1652274450.6819603,917851,-1.0
1652274530.8582382,919805,-1.0
1652274538.6153944,920007,-1.0
1652274691.350149,923479,-1.0
1652274694.3838732,923554,-1.0
1652274802.0243382,926208,-1.0
1652274964.6085565,930239,-1.0
1652274989.1899436,930876,-1.0
1652275091.1768758,933421,-1.0
1652275137.746839,934690,-1.0
1652275187.973264,935910,-1.0
1652275249.8005283,937704,-20.0
1652275431.4857976,942551,-1.0
1652275647.6751473,948036,-1.0
1652275671.5765789,948646,-1.0
1652275700.5735908,949421,-1.0
1652275742.896847,950529,-1.0
1652275755.9313397,950986,-1.0
1652275893.6512842,955093,-1.0
1652275939.729154,956455,-1.0
1652275977.7663486,957481,-1.0
1652276026.5615408,958836,-1.0
1652276103.4532747,960830,-1.0
1652276122.2311144,961365,-1.0
1652276142.2660713,961866,-1.0
1652276164.5341468,962355,-1.0
1652276249.4437776,964432,-1.0
1652276259.9529772,964655,-1.0
1652276293.0673714,965535,-1.0
1652276317.7438867,966231,-1.0
1652276591.816231,973026,-1.0
1652276594.3451219,973084,-1.0
1652276596.4782434,973158,-20.0
1652276683.0476449,975275,-1.0
1652276693.7667375,975471,-1.0
1652276701.4737535,975623,-1.0
1652276930.9631667,981028,-1.0
1652277021.387386,983357,-1.0
1652277044.2817955,983992,-1.0
1652277137.5593495,986421,-1.0
1652277139.1439116,986453,-1.0
1652277161.849355,987031,-1.0
1652277331.94324,990888,-20.0
1652277366.3120077,991710,-1.0
1652277385.7530665,992140,-1.0
1652277516.9654715,995560,-1.0
1652277729.0872798,1001242,-1.0
1652277744.4389982,1001716,-1.0
1652277827.607863,1003934,-1.0
1652277882.2739327,1005312,-20.0
1652277899.8725076,1005713,-1.0
1652277977.6232874,1007708,-1.0
1652278014.9168038,1008633,-1.0
1652278079.7717655,1010347,-1.0
1652278099.3238158,1010894,-1.0
1652278148.4337304,1012196,-1.0
1652278154.808855,1012339,-1.0
1652278160.3980849,1012487,-1.0
1652278241.6572192,1014539,-1.0
1652278266.1081526,1015176,-1.0
1652278310.960319,1016300,-20.0
1652278351.5002646,1017367,-1.0
1652278420.118668,1019145,-1.0
1652278490.009556,1020907,-1.0
1652278502.4463282,1021185,-1.0
1652278552.8184373,1022539,-1.0
1652278621.7545607,1024616,-20.0
1652278696.717867,1026851,-1.0
1652278730.2691176,1027932,-1.0
1652278804.0601702,1030155,-1.0
1652278987.5009537,1035570,-1.0
1652279144.4666104,1040001,-1.0
1652279162.747213,1040497,-1.0
1652279181.1281931,1041062,-20.0
1652279243.938964,1042930,-20.0
1652279298.341446,1044453,-1.0
1652279364.212303,1046438,-1.0
1652279404.008045,1047567,-1.0
1652279486.5430617,1050172,-20.0
1652279600.8703077,1053328,-1.0
1652279716.6268318,1056760,-1.0
1652279739.8330386,1057395,-1.0
1652279786.062825,1058797,-1.0
1652279805.851778,1059366,-1.0
1652279864.9744833,1061120,-1.0
1652280297.3894873,1073711,-20.0
1652280380.4124637,1076038,-20.0
1652280427.3283339,1077304,-1.0
1652280511.5257854,1079654,-20.0
1652280623.966171,1082916,-20.0
1652280711.3020291,1085557,-1.0
1652280741.0430517,1086483,-1.0
1652280778.0186477,1087641,-1.0
1652280854.6472325,1089832,-20.0
1652280885.2258446,1090716,-20.0
1652280960.9571505,1092932,-1.0
1652281015.0717149,1094495,-1.0
1652281259.7661593,1101995,-1.0
1652281283.1745129,1102673,-1.0
1652281418.4633965,1106556,-1.0
1652281568.4240139,1111163,-1.0
1652281575.5057392,1111377,-20.0
1652281760.6577444,1116681,-1.0
1652281856.4452922,1119592,-1.0
1652282254.9248605,1129261,-1.0
1652282785.9935224,1139809,-1.0
1652282838.5304453,1140721,-1.0
1652282846.3763313,1140875,-1.0
1652282898.892503,1141970,-1.0
1652282933.0457423,1142594,-1.0
1652283099.792203,1146885,-1.0
1652283123.4307547,1147513,-1.0
1652283190.6781511,1149529,-1.0
1652283203.966599,1149931,-1.0
1652283248.6523151,1151210,-20.0
1652283424.18088,1156403,-10.0
1652283520.1642723,1159194,-1.0
1652283962.1403031,1171602,-20.0
1652284032.9299936,1173547,-1.0
1652284180.335937,1177615,-1.0
1652284218.1289015,1178725,-1.0
1652284234.2247326,1179240,-1.0
1652284797.2328389,1195962,-1.0
1652284821.2068188,1196663,-1.0
1652284948.4550352,1200366,-1.0
1652285010.2444215,1202074,-1.0
1652285256.3710644,1209497,-1.0
1652285338.2691834,1211871,-20.0
1652285389.3658319,1213489,-1.0
1652285408.6942892,1214036,-1.0
1652285595.5924535,1219180,-1.0
1652285629.6545138,1220139,-1.0
1652285707.1179626,1222252,-1.0
1652285708.2872107,1222294,-1.0
1652285779.7261593,1224211,-1.0
1652285937.8366647,1228804,-1.0
1652285974.279735,1229814,-1.0
1652286063.9633584,1232298,-1.0
1652286076.473749,1232728,-1.0
1652286110.4238422,1233676,-1.0
1652286183.9355733,1235681,-1.0
1652286200.0889645,1236255,-1.0
1652286288.9321356,1238719,-1.0
1652286437.1981997,1243245,-20.0
1652286478.9842236,1244419,-20.0
1652286665.8453124,1249946,-1.0
1652286705.6833844,1251108,-1.0
1652286707.7283552,1251180,-1.0
1652286828.706005,1255010,-1.0
1652286881.318627,1256519,-20.0
1652286977.133639,1259584,-1.0
1652287003.5207422,1260392,-1.0
1652287012.8841152,1260670,-20.0
1652287033.1582096,1261282,-1.0
1652287049.1565537,1261753,-20.0
1652287079.9493594,1262628,-1.0
1652287156.198755,1264774,-1.0
1652287160.4508343,1264898,-1.0
1652287219.4085903,1266509,-1.0
1652287224.0972342,1266621,-1.0
1652287253.4305708,1267514,-1.0
1652287261.8386955,1267760,-1.0
1652287268.4693208,1267957,-20.0
1652287353.2898545,1270423,-20.0
1652287377.2355368,1271104,-1.0
1652287379.2859983,1271179,-20.0
1652287398.459028,1271702,-20.0
1652287412.5930197,1272124,-20.0
1652287446.6494515,1273122,-1.0
1652287469.1191993,1273775,-1.0
1652287513.9097228,1275027,-1.0
1652287608.677376,1277773,-1.0
1652287666.0372305,1279455,-1.0
1652287688.3275433,1280121,-1.0
1652287724.7607589,1281143,-20.0
1652287820.3090734,1283952,-20.0
1652287874.2120686,1285553,-20.0
1652287886.0648708,1285881,-1.0
1652287886.738855,1285905,-1.0
1652288007.9065382,1289609,-1.0
1652288017.4945998,1289862,-1.0
1652288043.4804134,1290640,-1.0
1652288128.2289321,1293227,-1.0
1652288323.6355832,1298932,-1.0
1652288455.3939877,1302906,-1.0
1652288517.875373,1304745,-1.0
1652288589.787925,1306903,-1.0
1652288622.7094493,1307848,-1.0
1652288660.7113945,1308940,-20.0
1652288719.8304799,1310614,-1.0
1652288723.061479,1310720,-1.0
1652288747.5594923,1311428,-1.0
1652288750.7253714,1311527,-1.0
1652288799.066634,1313055,-1.0
1652288843.695956,1314374,-20.0
